Order,Material Number,Material description,Order quantity (GMEIN),Unit of measure (=GMEIN),Batch,Basic start date,Delivered quantity (GMEIN),System Status
1027661,ERABW5600-BLK01200,STRUCT BOND BW-5600,"1,200.000",KG,CA9003,26-02-19,0.000,REL  PRC  BASC BCRQ MANC SETC
1027526,RKV282NS0-BLK01000,VINYLAX-282NS,"5,503.500",KG,CB9004,26-02-19,0.000,REL  PRC  BASC BCRQ MANC SETC
1027529,RKUT80000-DR000200,U-RAMIN T-80,"5,219.000",KG,CB9001,26-02-19,0.000,REL  PRC  BASC BCRQ MANC SETC
1027608,ENJQ266T0-DR000200,OLESTER Q266T,"3,048.950",KG,CC9002,26-02-19,0.000,REL  PRC  BASC BCRQ MANC SETC
1027609,ENR286000-DR000200,U-VAN 28-60,"3,708.000",KG,CB9009,26-02-19,0.000,REL  PRC  BASC BCRQ MANC SETC
1027610,ENR286000-DR000200,U-VAN 28-60,"3,708.000",KG,CC9010,26-02-19,0.000,REL  PRC  BASC BCRQ MANC SETC
1027611,ENRMB20T0-DR000200,U-VAN MB20T,"7,484.780",KG,CC9003,26-02-19,0.000,REL  PRC  BASC BCRQ MANC SETC
1027618,RKBB610CT-PB000120,PROMINATE BMST-610CT,"4,000.000",KG,CB9023,26-02-19,0.000,REL  PRC  BASC BCRQ MANC SETC
1027621,ENGAL2500-BLK01000,ALMATEX-A-250,"8,969.000",KG,CB9003,26-02-19,0.000,REL  PRC  BASC BCRQ MANC SETC
1027622,ENGAL2890-BLK01000,ALMATEX-A-289,"10,419.530",KG,CB9003,26-02-19,0.000,REL  PRC  BASC BCRQ MANC SETC
1027623,RKA750200-DR000200,ACRYLAX-7502,"4,470.700",KG,CB9003,26-02-19,0.000,REL  PRC  BASC BCRQ MANC SETC
1027624,ENCH3150B-BLK01000,HOPELON-3150B,"4,099.350",KG,CB9026,26-02-19,0.000,REL  PRC  BASC BCRQ MANC SETC
1027654,UGPS1113H-DR000200,THAMOL SK-1113H,"10,298.000",KG,CB9006,26-02-19,0.000,REL  PRC  BASC BCRQ MANC SETC
1027655,UGPCL1799-DR000200,THAMOL CL-1799,"5,031.000",KG,CB9001,26-02-19,0.000,REL  PRC  BASC BCRQ MANC SETC
1027656,UGTCOTM20-DR000250,COSMONATE TM-20,"5,625.000",KG,CB9015,26-02-19,0.000,REL  PRC  BASC BCRQ MANC SETC
1027657,UGMTM1722-DR000230,THAMATE-1722,"5,000.000",KG,CB9017,26-02-19,0.000,REL  PRC  BASC BCRQ MANC SETC
1027658,UGPVB443A-BLK01000,VB-443-A,"10,000.000",KG,CB9006,26-02-19,0.000,REL  PRC  BASC BCRQ MANC SETC
1027659,UGPMP2164-DR000200,MP-2164(D),"1,788.000",KG,CB9016,26-02-19,0.000,REL  PRC  BASC BCRQ MANC SETC
1027660,UGMTM1788-DR000230,THAMATE-1788,"1,650.000",KG,CB9008,26-02-19,0.000,REL  PRC  BASC BCRQ MANC SETC
